"","V1"
"1",1
"2",1
"3",0.99
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",0.98
"11",0.69
"12",1
"13",1
"14",1
"15",0.715
"16",1
"17",1
"18",0.755
"19",0.95
"20",1
"21",1
"22",1
"23",1
"24",1
"25",1
"26",1
"27",0.835
"28",0.97
"29",1
"30",1
"31",1
"32",0.935
"33",1
"34",0.905
"35",0.6
"36",0.99
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",0.89
"47",0.945
"48",0.92
"49",1
"50",1
"51",1
"52",1
"53",1
"54",1
"55",0.255
"56",1
"57",1
"58",1
"59",1
"60",0.355
"61",1
"62",1
"63",1
"64",1
"65",1
"66",1
"67",1
"68",1
"69",1
"70",0
"71",0.95
"72",1
"73",1
"74",0.005
"75",1
"76",1
"77",1
"78",0.995
"79",1
"80",1
"81",1
"82",1
"83",1
"84",0.82
"85",1
"86",1
"87",0.03
"88",0.375
"89",1
"90",1
"91",1
"92",1
"93",1
"94",1
"95",1
"96",1
"97",0.905
"98",1
"99",1
"100",1
"101",1
"102",1
"103",0.785
"104",1
"105",1
"106",0.995
"107",1
"108",0.985
"109",1
"110",0.725
"111",0.355
"112",1
"113",1
"114",0.99
"115",1
"116",1
"117",1
"118",1
"119",1
"120",1
"121",0.585
"122",0.87
"123",0.995
"124",0.77
"125",0.13
"126",1
"127",1
"128",0.96
"129",1
"130",1
"131",1
"132",1
"133",1
"134",1
"135",0.245
"136",1
"137",1
"138",1
"139",0.13
"140",1
"141",1
"142",1
"143",1
"144",0.79
"145",0.57
"146",0.415
"147",1
"148",0.865
"149",0.2
"150",0.995
"151",0.58
"152",1
"153",0.99
"154",1
"155",0.955
"156",1
"157",1
"158",1
"159",1
"160",0.995
"161",1
"162",0.545
"163",0.215
"164",1
"165",1
"166",0.995
"167",1
"168",0.805
"169",1
"170",1
"171",1
"172",0.995
"173",1
"174",1
"175",1
"176",0.985
"177",1
"178",1
"179",0.59
"180",1
"181",0.985
"182",0.995
"183",1
"184",0.56
"185",1
"186",0.505
"187",1
"188",0.985
"189",0.99
"190",0.01
"191",1
"192",1
"193",1
"194",1
"195",0.995
"196",1
"197",1
"198",1
"199",0.99
"200",0.965
"201",1
"202",1
"203",0.58
"204",0.47
"205",0.99
"206",1
"207",1
"208",0.57
"209",1
"210",0.94
"211",1
"212",1
"213",0.995
"214",0.81
"215",0.73
"216",1
"217",0.995
"218",0.945
"219",1
"220",1
"221",1
"222",1
"223",0.985
"224",1
"225",0.885
"226",0.995
"227",1
"228",1
"229",1
"230",1
"231",0.48
"232",1
"233",1
"234",0.64
"235",1
"236",1
"237",1
"238",1
"239",1
"240",1
"241",0.755
"242",1
"243",0.43
"244",1
"245",1
"246",0.985
"247",1
"248",0.735
"249",0.56
"250",1
"251",1
"252",0.955
"253",1
"254",1
"255",1
"256",1
"257",1
"258",1
"259",1
"260",1
"261",1
"262",0.935
"263",1
"264",0.995
"265",1
"266",1
"267",1
"268",1
"269",1
"270",1
"271",0.32
"272",1
"273",1
"274",1
"275",1
"276",1
"277",1
"278",1
"279",1
"280",0.995
"281",1
"282",1
"283",0.885
"284",1
"285",1
"286",1
"287",1
"288",0.865
"289",1
"290",0.995
"291",0.71
"292",0.475
"293",0.98
"294",1
"295",1
"296",1
"297",1
"298",1
"299",1
"300",1
