"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",0.59,0.546666666666667,0.08,0.253333333333333,0,0.00666666666666667,0.07,0.00333333333333333,0,0,0,0,0
"2",0.743333333333333,0,0.793333333333333,0.0733333333333333,0.00333333333333333,0.03,0,0.01,0.0433333333333333,0,0,0,0
"3",0.553333333333333,0.436666666666667,0.08,0.00333333333333333,0.26,0.0433333333333333,0,0,0.00333333333333333,0.0533333333333333,0,0,0
"4",0.776666666666667,0.86,0.703333333333333,0.446666666666667,0.01,0,0,0,0,0,0,0,0
"5",0.693333333333333,0.496666666666667,0.193333333333333,0.0133333333333333,0.0133333333333333,0,0.0533333333333333,0,0,0,0,0,0
"6",0.193333333333333,0.61,0.00333333333333333,0.0433333333333333,0.19,0.286666666666667,0,0,0,0,0,0,0
"7",0.766666666666667,0.596666666666667,0.00333333333333333,0.01,0.02,0,0,0,0,0.00333333333333333,0,0,0
"8",0.293333333333333,0.24,0.0366666666666667,0.326666666666667,0.0233333333333333,0.0133333333333333,0,0,0,0,0,0,0
"9",0.11,0.81,0.423333333333333,0.13,0.0366666666666667,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0
"10",0.103333333333333,0.0533333333333333,0.106666666666667,0.38,0.156666666666667,0.0333333333333333,0.116666666666667,0,0,0.00333333333333333,0,0.00333333333333333,0
"11",0.00333333333333333,0.896666666666667,0.01,0.17,0,0,0,0.00666666666666667,0,0,0,0,0
"12",0.48,0.886666666666667,0.03,0.00666666666666667,0,0,0.02,0,0,0,0,0,0
"13",0.966666666666667,0.16,0.186666666666667,0.1,0.00666666666666667,0.0966666666666667,0,0,0.01,0,0.0233333333333333,0,0
"14",0.08,0.313333333333333,0.883333333333333,0.236666666666667,0.1,0,0.11,0,0,0,0,0,0
"15",0.633333333333333,0.0266666666666667,0.1,0,0,0,0.00333333333333333,0,0,0,0,0,0
"16",0,0.0433333333333333,0.143333333333333,0.03,0,0.0133333333333333,0,0,0,0,0.00333333333333333,0.00333333333333333,0
"17",0.106666666666667,0.07,0.0333333333333333,0.00666666666666667,0.21,0,0,0,0,0,0,0,0
"18",0.526666666666667,0.01,0.03,0.11,0.0866666666666667,0,0.00333333333333333,0,0,0,0,0,0
"19",0.433333333333333,0.0266666666666667,0.526666666666667,0.246666666666667,0.306666666666667,0.00333333333333333,0,0,0,0,0,0,0
"20",0.61,0.0466666666666667,0.876666666666667,0,0.00333333333333333,0,0,0,0,0,0,0,0
"21",0.363333333333333,0.136666666666667,0.283333333333333,0.34,0.00666666666666667,0,0,0,0.00333333333333333,0.00333333333333333,0,0,0
"22",0.403333333333333,0.206666666666667,0.183333333333333,0.156666666666667,0.0733333333333333,0.0566666666666667,0,0,0,0.00333333333333333,0,0,0
"23",0.893333333333333,0.0333333333333333,0.28,0.723333333333333,0.0733333333333333,0.0366666666666667,0.0133333333333333,0.0266666666666667,0,0,0,0,0
"24",0.00333333333333333,1,0.133333333333333,0.0333333333333333,0,0.0333333333333333,0,0,0,0,0,0,0
"25",0,0.206666666666667,0.346666666666667,0.0133333333333333,0,0,0.00666666666666667,0.05,0.05,0,0,0,0
"26",0.336666666666667,0.99,0.0433333333333333,0.826666666666667,0.37,0.00333333333333333,0,0,0.0166666666666667,0,0,0,0
"27",0.306666666666667,0.843333333333333,0.13,0.15,0.01,0,0,0,0.00666666666666667,0,0,0,0
"28",0.296666666666667,0.443333333333333,0.01,0.01,0.00666666666666667,0,0.00666666666666667,0,0,0,0,0,0
"29",0.973333333333333,0.926666666666667,0.906666666666667,0.0233333333333333,0.126666666666667,0,0,0,0.00666666666666667,0,0,0,0
"30",0.666666666666667,0.313333333333333,0.66,0.876666666666667,0.06,0.00333333333333333,0.01,0,0.0333333333333333,0,0,0,0
"31",0.913333333333333,0.01,0,0.153333333333333,0.0533333333333333,0.04,0.00333333333333333,0,0,0,0,0.00333333333333333,0
"32",0.726666666666667,0.08,0.00333333333333333,0.0566666666666667,0.00666666666666667,0,0.01,0,0,0,0,0,0
"33",0.923333333333333,0.00333333333333333,0.00666666666666667,0.293333333333333,0.01,0.00666666666666667,0.00333333333333333,0.0133333333333333,0.00666666666666667,0.00333333333333333,0.00666666666666667,0,0
"34",0.686666666666667,0.833333333333333,0.0333333333333333,0.266666666666667,0.00666666666666667,0.0366666666666667,0,0,0,0,0,0,0
"35",0.07,0.78,0.223333333333333,0,0.103333333333333,0.03,0.00666666666666667,0.01,0,0,0,0,0
"36",0.0133333333333333,0.486666666666667,0.0833333333333333,0.0233333333333333,0,0.233333333333333,0,0,0,0,0,0,0
"37",0.503333333333333,0.0533333333333333,0.756666666666667,0.19,0.0366666666666667,0.0766666666666667,0,0,0,0,0.0666666666666667,0,0
"38",0.07,0.936666666666667,0.966666666666667,0.03,0.00666666666666667,0.0866666666666667,0,0,0,0,0.00333333333333333,0,0
"39",0.626666666666667,0.576666666666667,0.32,0,0.01,0,0,0.0366666666666667,0,0,0,0,0
"40",0.853333333333333,0.923333333333333,0.736666666666667,0.17,0.05,0.00333333333333333,0.00666666666666667,0,0.00333333333333333,0,0,0,0
"41",0.673333333333333,0.646666666666667,0.0866666666666667,0.00666666666666667,0.143333333333333,0.0266666666666667,0,0,0,0,0,0.00333333333333333,0
"42",0,0.19,0.0266666666666667,0.06,0.113333333333333,0,0,0.0133333333333333,0,0,0,0,0
"43",0.16,0.413333333333333,0.11,0.48,0,0,0,0,0,0,0,0,0
"44",0.3,0.66,0.41,0.04,0,0,0,0,0,0.01,0,0,0
"45",0.623333333333333,0.196666666666667,0.9,0.273333333333333,0.00666666666666667,0.0966666666666667,0,0,0,0,0,0,0
"46",0.153333333333333,0.176666666666667,0.11,0.223333333333333,0,0,0.01,0,0,0,0,0,0
"47",0.603333333333333,0.31,0.516666666666667,0,0,0,0,0,0,0,0,0,0
"48",0.27,0.936666666666667,0.4,0,0.206666666666667,0.01,0.0433333333333333,0,0,0.0333333333333333,0.0133333333333333,0,0
"49",0.06,0,0.34,0.0766666666666667,0.00666666666666667,0.0233333333333333,0.03,0.0333333333333333,0.0733333333333333,0,0,0,0
"50",0.636666666666667,0.00333333333333333,0,0.996666666666667,0.0466666666666667,0,0.00666666666666667,0.00333333333333333,0,0,0.0166666666666667,0,0
"51",0.203333333333333,0.103333333333333,0.00666666666666667,0.04,0.0333333333333333,0.11,0.0133333333333333,0,0,0,0,0,0
"52",0.0533333333333333,0.163333333333333,0.876666666666667,0.193333333333333,0,0,0,0,0,0,0,0,0
"53",0.0633333333333333,0.756666666666667,0.05,0.00333333333333333,0.02,0,0,0,0,0.383333333333333,0,0,0
"54",0.32,0.82,0.136666666666667,0,0.163333333333333,0.0433333333333333,0,0,0.00666666666666667,0,0,0,0
"55",0.78,0.94,0.243333333333333,0.03,0,0.00333333333333333,0.0133333333333333,0,0.00666666666666667,0,0,0,0
"56",0.573333333333333,0.6,0.763333333333333,0.0266666666666667,0,0.00333333333333333,0.07,0,0,0,0,0,0
